GEOID,state_alpha,year,forecast_date,hls_ndvi_mean,hls_ndvi_std,hls_evi_mean,hls_evi_std,hls_n_granules
19001,IA,2022,EOS,0.3331917524337768,0.1235382780432701,0.2073481231927871,0.0682610124349594,5
19001,IA,2023,08-01,0.8124166131019592,0.111453577876091,0.655673086643219,0.126081570982933,5
19001,IA,2023,09-01,0.8416194915771484,0.1000256836414337,0.6671015620231628,0.1438228487968444,5
19001,IA,2023,10-01,0.5595232844352722,0.1413066536188125,0.3388265967369079,0.1096533387899398,5
19001,IA,2023,EOS,0.58368980884552,0.1895661503076553,0.3417491614818573,0.1481833010911941,5
19001,IA,2024,08-01,0.7767519950866699,0.146437868475914,0.6239902973175049,0.1664453446865081,5
19001,IA,2024,09-01,0.8511614799499512,0.075759969651699,0.605837345123291,0.1099499017000198,5
19001,IA,2024,10-01,0.6930321455001831,0.1551304012537002,0.462522029876709,0.1361237913370132,5
19001,IA,2024,EOS,0.3881391584873199,0.1532815396785736,0.2522072494029999,0.1030131354928016,5
19001,IA,2025,09-01,0.861381471157074,0.0835079029202461,0.7219172716140747,0.1480990499258041,5
19001,IA,2025,EOS,0.6084624528884888,0.1652489006519317,0.2787810564041137,0.1279772967100143,5
19003,IA,2013,09-01,0.8158594369888306,0.1179418340325355,0.630337119102478,0.1410871595144271,5
19003,IA,2014,08-01,0.759748101234436,0.1304430812597274,0.6395105719566345,0.1501940935850143,5
19003,IA,2014,09-01,0.8524090647697449,0.0989878922700882,0.680342435836792,0.1417573392391204,5
19003,IA,2014,10-01,0.7315607070922852,0.1246290728449821,0.5133332014083862,0.1434154063463211,5
19003,IA,2014,EOS,0.3791107535362243,0.1296452283859253,0.2168601304292678,0.1047829166054725,5
19003,IA,2015,08-01,0.854448676109314,0.1152421236038208,0.7093744874000549,0.16112020611763,5
19003,IA,2015,09-01,0.8543916940689087,0.0996798574924469,0.734826385974884,0.1758719533681869,5
19003,IA,2015,EOS,0.3991436958312988,0.1532480865716934,0.2494467347860336,0.1139784157276153,5
19003,IA,2016,09-01,0.838775098323822,0.1093575581908226,0.7007623314857483,0.1583321243524551,5
19003,IA,2016,10-01,0.6157283782958984,0.1577418744564056,0.3732421696186065,0.1502901464700698,5
19003,IA,2017,08-01,0.8175448775291443,0.1170288473367691,0.6269589066505432,0.1443829834461212,5
19003,IA,2017,09-01,0.7476562857627869,0.1595277637243271,0.6588001847267151,0.1598182171583175,5
19003,IA,2017,10-01,0.694368839263916,0.1224527135491371,0.4287391602993011,0.1242058724164962,5
19003,IA,2017,EOS,0.3754960894584656,0.1496070027351379,0.1595167517662048,0.0997741296887397,5
19003,IA,2018,08-01,0.2934945225715637,0.4303875267505646,0.2731674909591675,0.3913451731204986,5
19003,IA,2018,09-01,0.8475876450538635,0.0925171002745628,0.6205658912658691,0.1409225761890411,5
19003,IA,2018,10-01,0.5772011280059814,0.1666301935911178,0.3407120406627655,0.1410841941833496,5
19003,IA,2018,EOS,0.3879920244216919,0.1644109785556793,0.1921889185905456,0.1244978159666061,5
19003,IA,2019,09-01,0.8275657892227173,0.0855780243873596,0.6115843057632446,0.1306910663843155,5
19003,IA,2019,10-01,0.7472567558288574,0.1235049366950988,0.5292783379554749,0.1390465050935745,5
19003,IA,2019,EOS,0.4183349013328552,0.149800419807434,0.2324896305799484,0.1028040423989296,5
19003,IA,2020,09-01,0.8688429594039917,0.089405782520771,0.6983776092529297,0.1338434368371963,5
19003,IA,2020,10-01,0.4694145917892456,0.1136289462447166,0.3045578598976135,0.0978481844067573,5
19003,IA,2020,EOS,0.4874873757362366,0.1514273434877395,0.2881926298141479,0.1228046119213104,5
19003,IA,2021,08-01,0.824648916721344,0.0924821123480796,0.6476995944976807,0.1125105693936348,5
19003,IA,2021,09-01,0.8412765860557556,0.0932986214756965,0.6653969287872314,0.1169009730219841,5
19003,IA,2021,10-01,0.6752469539642334,0.1472391635179519,0.4601849317550659,0.1233221516013145,5
19003,IA,2021,EOS,0.4082456827163696,0.1823168992996215,0.222287580370903,0.1404173821210861,5
19003,IA,2022,08-01,0.8387971520423889,0.1117184907197952,0.6833041310310364,0.1530445367097854,5
19003,IA,2022,09-01,0.8622774481773376,0.0949406549334526,0.7058060765266418,0.1484013944864273,5
19003,IA,2022,EOS,0.3331917524337768,0.1235382780432701,0.2073481231927871,0.0682610124349594,5
19003,IA,2023,08-01,0.8124166131019592,0.111453577876091,0.655673086643219,0.126081570982933,5
19003,IA,2023,09-01,0.8416194915771484,0.1000256836414337,0.6671015620231628,0.1438228487968444,5
19003,IA,2023,10-01,0.5595232844352722,0.1413066536188125,0.3388265967369079,0.1096533387899398,5
19003,IA,2023,EOS,0.58368980884552,0.1895661503076553,0.3417491614818573,0.1481833010911941,5
19003,IA,2024,08-01,0.7767519950866699,0.146437868475914,0.6239902973175049,0.1664453446865081,5
19003,IA,2024,09-01,0.8511614799499512,0.075759969651699,0.605837345123291,0.1099499017000198,5
19003,IA,2024,10-01,0.6930321455001831,0.1551304012537002,0.462522029876709,0.1361237913370132,5
19003,IA,2024,EOS,0.3881391584873199,0.1532815396785736,0.2522072494029999,0.1030131354928016,5
19003,IA,2025,09-01,0.861381471157074,0.0835079029202461,0.7219172716140747,0.1480990499258041,5
19003,IA,2025,EOS,0.6084624528884888,0.1652489006519317,0.2787810564041137,0.1279772967100143,5
19005,IA,2013,09-01,0.8158594369888306,0.1179418340325355,0.630337119102478,0.1410871595144271,5
19005,IA,2014,08-01,0.759748101234436,0.1304430812597274,0.6395105719566345,0.1501940935850143,5
19005,IA,2014,09-01,0.8524090647697449,0.0989878922700882,0.680342435836792,0.1417573392391204,5
19005,IA,2014,10-01,0.7315607070922852,0.1246290728449821,0.5133332014083862,0.1434154063463211,5
19005,IA,2014,EOS,0.3791107535362243,0.1296452283859253,0.2168601304292678,0.1047829166054725,5
19005,IA,2015,08-01,0.854448676109314,0.1152421236038208,0.7093744874000549,0.16112020611763,5
19005,IA,2015,09-01,0.8543916940689087,0.0996798574924469,0.734826385974884,0.1758719533681869,5
19005,IA,2015,EOS,0.3991436958312988,0.1532480865716934,0.2494467347860336,0.1139784157276153,5
19005,IA,2016,09-01,0.838775098323822,0.1093575581908226,0.7007623314857483,0.1583321243524551,5
19005,IA,2016,10-01,0.6157283782958984,0.1577418744564056,0.3732421696186065,0.1502901464700698,5
19005,IA,2017,08-01,0.8175448775291443,0.1170288473367691,0.6269589066505432,0.1443829834461212,5
19005,IA,2017,09-01,0.7476562857627869,0.1595277637243271,0.6588001847267151,0.1598182171583175,5
19005,IA,2017,10-01,0.694368839263916,0.1224527135491371,0.4287391602993011,0.1242058724164962,5
19005,IA,2017,EOS,0.3754960894584656,0.1496070027351379,0.1595167517662048,0.0997741296887397,5
19005,IA,2018,08-01,0.2934945225715637,0.4303875267505646,0.2731674909591675,0.3913451731204986,5
19005,IA,2018,09-01,0.8475876450538635,0.0925171002745628,0.6205658912658691,0.1409225761890411,5
19005,IA,2018,10-01,0.5772011280059814,0.1666301935911178,0.3407120406627655,0.1410841941833496,5
19005,IA,2018,EOS,0.3879920244216919,0.1644109785556793,0.1921889185905456,0.1244978159666061,5
19005,IA,2019,09-01,0.8275657892227173,0.0855780243873596,0.6115843057632446,0.1306910663843155,5
19005,IA,2019,10-01,0.7472567558288574,0.1235049366950988,0.5292783379554749,0.1390465050935745,5
19005,IA,2019,EOS,0.4183349013328552,0.149800419807434,0.2324896305799484,0.1028040423989296,5
19005,IA,2020,09-01,0.8688429594039917,0.089405782520771,0.6983776092529297,0.1338434368371963,5
19005,IA,2020,10-01,0.4694145917892456,0.1136289462447166,0.3045578598976135,0.0978481844067573,5
19005,IA,2020,EOS,0.4874873757362366,0.1514273434877395,0.2881926298141479,0.1228046119213104,5
19005,IA,2021,08-01,0.824648916721344,0.0924821123480796,0.6476995944976807,0.1125105693936348,5
19005,IA,2021,09-01,0.8412765860557556,0.0932986214756965,0.6653969287872314,0.1169009730219841,5
19005,IA,2021,10-01,0.6752469539642334,0.1472391635179519,0.4601849317550659,0.1233221516013145,5
19005,IA,2021,EOS,0.4082456827163696,0.1823168992996215,0.222287580370903,0.1404173821210861,5
19005,IA,2022,08-01,0.8387971520423889,0.1117184907197952,0.6833041310310364,0.1530445367097854,5
19005,IA,2022,09-01,0.8622774481773376,0.0949406549334526,0.7058060765266418,0.1484013944864273,5
19005,IA,2022,EOS,0.3331917524337768,0.1235382780432701,0.2073481231927871,0.0682610124349594,5
19005,IA,2023,08-01,0.8124166131019592,0.111453577876091,0.655673086643219,0.126081570982933,5
19005,IA,2023,09-01,0.8416194915771484,0.1000256836414337,0.6671015620231628,0.1438228487968444,5
19005,IA,2023,10-01,0.5595232844352722,0.1413066536188125,0.3388265967369079,0.1096533387899398,5
19005,IA,2023,EOS,0.58368980884552,0.1895661503076553,0.3417491614818573,0.1481833010911941,5
19005,IA,2024,08-01,0.7767519950866699,0.146437868475914,0.6239902973175049,0.1664453446865081,5
19005,IA,2024,09-01,0.8511614799499512,0.075759969651699,0.605837345123291,0.1099499017000198,5
19005,IA,2024,10-01,0.6930321455001831,0.1551304012537002,0.462522029876709,0.1361237913370132,5
19005,IA,2024,EOS,0.3881391584873199,0.1532815396785736,0.2522072494029999,0.1030131354928016,5
19005,IA,2025,09-01,0.861381471157074,0.0835079029202461,0.7219172716140747,0.1480990499258041,5
19005,IA,2025,EOS,0.6084624528884888,0.1652489006519317,0.2787810564041137,0.1279772967100143,5
19007,IA,2013,09-01,0.8158594369888306,0.1179418340325355,0.630337119102478,0.1410871595144271,5
19007,IA,2014,08-01,0.759748101234436,0.1304430812597274,0.6395105719566345,0.1501940935850143,5
19007,IA,2014,09-01,0.8524090647697449,0.0989878922700882,0.680342435836792,0.1417573392391204,5
19007,IA,2014,10-01,0.7315607070922852,0.1246290728449821,0.5133332014083862,0.1434154063463211,5
19007,IA,2014,EOS,0.3791107535362243,0.1296452283859253,0.2168601304292678,0.1047829166054725,5
19007,IA,2015,08-01,0.854448676109314,0.1152421236038208,0.7093744874000549,0.16112020611763,5
19007,IA,2015,09-01,0.8543916940689087,0.0996798574924469,0.734826385974884,0.1758719533681869,5
19007,IA,2015,EOS,0.3991436958312988,0.1532480865716934,0.2494467347860336,0.1139784157276153,5
19007,IA,2016,09-01,0.838775098323822,0.1093575581908226,0.7007623314857483,0.1583321243524551,5
19007,IA,2016,10-01,0.6157283782958984,0.1577418744564056,0.3732421696186065,0.1502901464700698,5
19007,IA,2017,08-01,0.8175448775291443,0.1170288473367691,0.6269589066505432,0.1443829834461212,5
19007,IA,2017,09-01,0.7476562857627869,0.1595277637243271,0.6588001847267151,0.1598182171583175,5
19007,IA,2017,10-01,0.694368839263916,0.1224527135491371,0.4287391602993011,0.1242058724164962,5
19007,IA,2017,EOS,0.3754960894584656,0.1496070027351379,0.1595167517662048,0.0997741296887397,5
19007,IA,2018,08-01,0.2934945225715637,0.4303875267505646,0.2731674909591675,0.3913451731204986,5
19007,IA,2018,09-01,0.8475876450538635,0.0925171002745628,0.6205658912658691,0.1409225761890411,5
19007,IA,2018,10-01,0.5772011280059814,0.1666301935911178,0.3407120406627655,0.1410841941833496,5
19007,IA,2018,EOS,0.3879920244216919,0.1644109785556793,0.1921889185905456,0.1244978159666061,5
19007,IA,2019,09-01,0.8275657892227173,0.0855780243873596,0.6115843057632446,0.1306910663843155,5
19007,IA,2019,10-01,0.7472567558288574,0.1235049366950988,0.5292783379554749,0.1390465050935745,5
19007,IA,2019,EOS,0.4183349013328552,0.149800419807434,0.2324896305799484,0.1028040423989296,5
19007,IA,2020,09-01,0.8688429594039917,0.089405782520771,0.6983776092529297,0.1338434368371963,5
19007,IA,2020,10-01,0.4694145917892456,0.1136289462447166,0.3045578598976135,0.0978481844067573,5
19007,IA,2020,EOS,0.4874873757362366,0.1514273434877395,0.2881926298141479,0.1228046119213104,5
19007,IA,2021,08-01,0.824648916721344,0.0924821123480796,0.6476995944976807,0.1125105693936348,5
19007,IA,2021,09-01,0.8412765860557556,0.0932986214756965,0.6653969287872314,0.1169009730219841,5
19007,IA,2021,10-01,0.6752469539642334,0.1472391635179519,0.4601849317550659,0.1233221516013145,5
19007,IA,2021,EOS,0.4082456827163696,0.1823168992996215,0.222287580370903,0.1404173821210861,5
19007,IA,2022,08-01,0.8387971520423889,0.1117184907197952,0.6833041310310364,0.1530445367097854,5
19007,IA,2022,09-01,0.8622774481773376,0.0949406549334526,0.7058060765266418,0.1484013944864273,5
19007,IA,2022,EOS,0.3331917524337768,0.1235382780432701,0.2073481231927871,0.0682610124349594,5
19007,IA,2023,08-01,0.8124166131019592,0.111453577876091,0.655673086643219,0.126081570982933,5
19007,IA,2023,09-01,0.8416194915771484,0.1000256836414337,0.6671015620231628,0.1438228487968444,5
19007,IA,2023,10-01,0.5595232844352722,0.1413066536188125,0.3388265967369079,0.1096533387899398,5
19007,IA,2023,EOS,0.58368980884552,0.1895661503076553,0.3417491614818573,0.1481833010911941,5
19007,IA,2024,08-01,0.7767519950866699,0.146437868475914,0.6239902973175049,0.1664453446865081,5
19007,IA,2024,09-01,0.8511614799499512,0.075759969651699,0.605837345123291,0.1099499017000198,5
19007,IA,2024,10-01,0.6930321455001831,0.1551304012537002,0.462522029876709,0.1361237913370132,5
19007,IA,2024,EOS,0.3881391584873199,0.1532815396785736,0.2522072494029999,0.1030131354928016,5
19007,IA,2025,09-01,0.861381471157074,0.0835079029202461,0.7219172716140747,0.1480990499258041,5
19007,IA,2025,EOS,0.6084624528884888,0.1652489006519317,0.2787810564041137,0.1279772967100143,5
19009,IA,2013,09-01,0.8158594369888306,0.1179418340325355,0.630337119102478,0.1410871595144271,5
19009,IA,2014,08-01,0.759748101234436,0.1304430812597274,0.6395105719566345,0.1501940935850143,5
19009,IA,2014,09-01,0.8524090647697449,0.0989878922700882,0.680342435836792,0.1417573392391204,5
19009,IA,2014,10-01,0.7315607070922852,0.1246290728449821,0.5133332014083862,0.1434154063463211,5
19009,IA,2014,EOS,0.3791107535362243,0.1296452283859253,0.2168601304292678,0.1047829166054725,5
19009,IA,2015,08-01,0.854448676109314,0.1152421236038208,0.7093744874000549,0.16112020611763,5
19009,IA,2015,09-01,0.8543916940689087,0.0996798574924469,0.734826385974884,0.1758719533681869,5
19009,IA,2015,EOS,0.3991436958312988,0.1532480865716934,0.2494467347860336,0.1139784157276153,5
19009,IA,2016,09-01,0.838775098323822,0.1093575581908226,0.7007623314857483,0.1583321243524551,5
19009,IA,2016,10-01,0.6157283782958984,0.1577418744564056,0.3732421696186065,0.1502901464700698,5
19009,IA,2017,08-01,0.8175448775291443,0.1170288473367691,0.6269589066505432,0.1443829834461212,5
19009,IA,2017,09-01,0.7476562857627869,0.1595277637243271,0.6588001847267151,0.1598182171583175,5
19009,IA,2017,10-01,0.694368839263916,0.1224527135491371,0.4287391602993011,0.1242058724164962,5
19009,IA,2017,EOS,0.3754960894584656,0.1496070027351379,0.1595167517662048,0.0997741296887397,5
19009,IA,2018,08-01,0.2934945225715637,0.4303875267505646,0.2731674909591675,0.3913451731204986,5
19009,IA,2018,09-01,0.8475876450538635,0.0925171002745628,0.6205658912658691,0.1409225761890411,5
19009,IA,2018,10-01,0.5772011280059814,0.1666301935911178,0.3407120406627655,0.1410841941833496,5
19009,IA,2018,EOS,0.3879920244216919,0.1644109785556793,0.1921889185905456,0.1244978159666061,5
19009,IA,2019,09-01,0.8275657892227173,0.0855780243873596,0.6115843057632446,0.1306910663843155,5
19009,IA,2019,10-01,0.7472567558288574,0.1235049366950988,0.5292783379554749,0.1390465050935745,5
19009,IA,2019,EOS,0.4183349013328552,0.149800419807434,0.2324896305799484,0.1028040423989296,5
19009,IA,2020,09-01,0.8688429594039917,0.089405782520771,0.6983776092529297,0.1338434368371963,5
19009,IA,2020,10-01,0.4694145917892456,0.1136289462447166,0.3045578598976135,0.0978481844067573,5
19009,IA,2020,EOS,0.4874873757362366,0.1514273434877395,0.2881926298141479,0.1228046119213104,5
19009,IA,2021,08-01,0.824648916721344,0.0924821123480796,0.6476995944976807,0.1125105693936348,5
19009,IA,2021,09-01,0.8412765860557556,0.0932986214756965,0.6653969287872314,0.1169009730219841,5
19009,IA,2021,10-01,0.6752469539642334,0.1472391635179519,0.4601849317550659,0.1233221516013145,5
19009,IA,2021,EOS,0.4082456827163696,0.1823168992996215,0.222287580370903,0.1404173821210861,5
19009,IA,2022,08-01,0.8387971520423889,0.1117184907197952,0.6833041310310364,0.1530445367097854,5
19009,IA,2022,09-01,0.8622774481773376,0.0949406549334526,0.7058060765266418,0.1484013944864273,5
19009,IA,2022,EOS,0.3331917524337768,0.1235382780432701,0.2073481231927871,0.0682610124349594,5
19009,IA,2023,08-01,0.8124166131019592,0.111453577876091,0.655673086643219,0.126081570982933,5
19009,IA,2023,09-01,0.8416194915771484,0.1000256836414337,0.6671015620231628,0.1438228487968444,5
19009,IA,2023,10-01,0.5595232844352722,0.1413066536188125,0.3388265967369079,0.1096533387899398,5
19009,IA,2023,EOS,0.58368980884552,0.1895661503076553,0.3417491614818573,0.1481833010911941,5
19009,IA,2024,08-01,0.7767519950866699,0.146437868475914,0.6239902973175049,0.1664453446865081,5
19009,IA,2024,09-01,0.8511614799499512,0.075759969651699,0.605837345123291,0.1099499017000198,5
19009,IA,2024,10-01,0.6930321455001831,0.1551304012537002,0.462522029876709,0.1361237913370132,5
