GEOID,year,forecast_date,d0_pct,d1_pct,d2_pct,d3_pct,d4_pct,d2plus
08039,2020,10-01,100.0,98.61,87.77,50.1,0.38,87.77
08039,2020,EOS,100.0,100.0,93.71,74.08,27.22,93.71
08039,2021,08-01,45.57,41.02,36.23,28.15,18.32,36.23
08039,2021,09-01,50.73,36.61,24.44,15.05,3.91,24.44
08039,2021,10-01,83.08,40.94,24.58,15.05,3.91,24.58
08039,2021,EOS,100.0,88.1,40.83,8.75,0.0,40.83
08039,2023,08-01,24.43,1.81,0.0,0.0,0.0,0.0
08039,2023,09-01,30.39,15.67,1.52,0.0,0.0,1.52
08039,2023,10-01,29.19,15.77,2.77,0.0,0.0,2.77
08039,2023,EOS,56.98,26.9,6.88,1.31,0.0,6.88
08041,2008,08-01,52.89,34.21,11.59,4.3,0.65,11.59
08041,2008,09-01,57.91,17.9,3.68,0.0,0.0,3.68
08041,2008,10-01,56.96,12.69,3.36,0.0,0.0,3.36
08041,2008,EOS,77.47,5.91,0.0,0.0,0.0,0.0
08055,2006,08-01,100.0,91.98,38.87,7.0,0.0,38.87
08055,2006,09-01,100.0,82.06,29.88,4.12,0.0,29.88
08055,2006,10-01,100.0,61.55,8.01,0.03,0.0,8.01
08055,2006,EOS,53.33,21.64,6.88,0.04,0.0,6.88
08061,2004,08-01,100.0,81.91,43.53,1.38,0.0,43.53
08061,2004,09-01,84.27,60.79,18.0,6.89,0.0,18.0
08061,2004,10-01,84.17,55.11,15.86,5.21,0.0,15.86
08061,2004,EOS,77.39,51.34,13.6,4.94,0.0,13.6
08061,2005,08-01,24.12,7.74,1.17,0.0,0.0,1.17
08061,2005,09-01,45.88,8.06,1.03,0.0,0.0,1.03
08061,2005,10-01,49.04,8.17,1.03,0.0,0.0,1.03
08061,2005,EOS,30.1,5.81,0.0,0.0,0.0,0.0
08061,2006,08-01,100.0,91.98,38.87,7.0,0.0,38.87
08061,2006,09-01,100.0,82.06,29.88,4.12,0.0,29.88
08061,2006,10-01,100.0,61.55,8.01,0.03,0.0,8.01
08061,2006,EOS,53.33,21.64,6.88,0.04,0.0,6.88
08061,2008,08-01,52.89,34.21,11.59,4.3,0.65,11.59
08061,2008,09-01,57.91,17.9,3.68,0.0,0.0,3.68
08061,2008,10-01,56.96,12.69,3.36,0.0,0.0,3.36
08061,2008,EOS,77.47,5.91,0.0,0.0,0.0,0.0
08061,2010,08-01,22.75,0.0,0.0,0.0,0.0,0.0
08061,2010,09-01,12.93,0.0,0.0,0.0,0.0,0.0
08061,2010,10-01,53.77,0.0,0.0,0.0,0.0,0.0
08061,2010,EOS,59.97,38.63,0.0,0.0,0.0,0.0
08061,2011,08-01,44.2,32.29,27.21,17.81,2.23,27.21
08061,2011,09-01,43.56,28.66,23.06,11.94,1.19,23.06
08061,2011,10-01,39.38,27.69,19.99,7.88,0.56,19.99
08061,2011,EOS,34.33,26.27,17.48,1.85,0.63,17.48
08061,2013,08-01,100.0,95.49,83.12,31.17,16.72,83.12
08061,2013,09-01,98.47,93.81,61.74,25.07,2.9,61.74
08061,2013,10-01,80.04,40.26,15.75,4.01,1.47,15.75
08061,2013,EOS,73.96,21.01,12.01,4.01,1.47,12.01
08061,2015,08-01,2.04,0.0,0.0,0.0,0.0,0.0
08061,2015,09-01,2.04,0.0,0.0,0.0,0.0,0.0
08061,2015,10-01,25.57,0.0,0.0,0.0,0.0,0.0
08061,2015,EOS,17.85,0.0,0.0,0.0,0.0,0.0
08061,2016,08-01,18.87,0.0,0.0,0.0,0.0,0.0
08061,2016,09-01,34.02,1.47,0.0,0.0,0.0,0.0
08061,2016,10-01,28.25,1.79,0.0,0.0,0.0,0.0
08061,2016,EOS,98.4,35.21,2.15,0.0,0.0,2.15
08061,2018,08-01,82.15,76.64,60.82,39.72,10.2,60.82
08061,2018,09-01,81.43,74.46,65.88,45.46,8.5,65.88
08061,2018,10-01,83.11,71.59,63.93,44.29,12.62,63.93
08061,2018,EOS,82.9,66.26,54.82,34.13,13.35,54.82
08061,2020,08-01,97.05,73.99,60.34,31.77,0.0,60.34
08061,2020,09-01,100.0,98.26,93.29,36.52,0.38,93.29
08061,2020,10-01,100.0,98.61,87.77,50.1,0.38,87.77
08061,2020,EOS,100.0,100.0,93.71,74.08,27.22,93.71
08061,2021,08-01,45.57,41.02,36.23,28.15,18.32,36.23
08061,2021,09-01,50.73,36.61,24.44,15.05,3.91,24.44
08061,2021,10-01,83.08,40.94,24.58,15.05,3.91,24.58
08061,2021,EOS,100.0,88.1,40.83,8.75,0.0,40.83
08061,2022,08-01,97.22,82.26,40.36,4.91,0.0,40.36
08061,2022,09-01,87.33,56.65,22.68,4.7,0.58,22.68
08061,2022,10-01,84.28,47.84,17.53,3.91,0.57,17.53
08061,2022,EOS,83.73,49.35,25.2,4.34,0.57,25.2
08061,2023,08-01,24.43,1.81,0.0,0.0,0.0,0.0
08061,2023,09-01,30.39,15.67,1.52,0.0,0.0,1.52
08061,2023,10-01,29.19,15.77,2.77,0.0,0.0,2.77
08061,2023,EOS,56.98,26.9,6.88,1.31,0.0,6.88
08063,2004,08-01,100.0,81.91,43.53,1.38,0.0,43.53
08063,2004,09-01,84.27,60.79,18.0,6.89,0.0,18.0
08063,2004,10-01,84.17,55.11,15.86,5.21,0.0,15.86
08063,2004,EOS,77.39,51.34,13.6,4.94,0.0,13.6
08063,2005,08-01,24.12,7.74,1.17,0.0,0.0,1.17
08063,2005,09-01,45.88,8.06,1.03,0.0,0.0,1.03
08063,2005,10-01,49.04,8.17,1.03,0.0,0.0,1.03
08063,2005,EOS,30.1,5.81,0.0,0.0,0.0,0.0
08063,2006,08-01,100.0,91.98,38.87,7.0,0.0,38.87
08063,2006,09-01,100.0,82.06,29.88,4.12,0.0,29.88
08063,2006,10-01,100.0,61.55,8.01,0.03,0.0,8.01
08063,2006,EOS,53.33,21.64,6.88,0.04,0.0,6.88
08063,2007,08-01,47.81,20.54,2.29,0.0,0.0,2.29
08063,2007,09-01,45.07,9.85,0.61,0.0,0.0,0.61
08063,2007,10-01,45.01,9.6,0.31,0.0,0.0,0.31
08063,2007,EOS,34.04,1.41,0.0,0.0,0.0,0.0
08063,2008,08-01,52.89,34.21,11.59,4.3,0.65,11.59
08063,2008,09-01,57.91,17.9,3.68,0.0,0.0,3.68
08063,2008,10-01,56.96,12.69,3.36,0.0,0.0,3.36
08063,2008,EOS,77.47,5.91,0.0,0.0,0.0,0.0
08063,2010,08-01,22.75,0.0,0.0,0.0,0.0,0.0
08063,2010,09-01,12.93,0.0,0.0,0.0,0.0,0.0
08063,2010,10-01,53.77,0.0,0.0,0.0,0.0,0.0
08063,2010,EOS,59.97,38.63,0.0,0.0,0.0,0.0
08063,2011,08-01,44.2,32.29,27.21,17.81,2.23,27.21
08063,2011,09-01,43.56,28.66,23.06,11.94,1.19,23.06
08063,2011,10-01,39.38,27.69,19.99,7.88,0.56,19.99
08063,2011,EOS,34.33,26.27,17.48,1.85,0.63,17.48
08063,2012,08-01,100.0,100.0,99.7,73.67,2.82,99.7
08063,2012,09-01,100.0,100.0,99.96,68.38,9.64,99.96
08063,2012,10-01,100.0,100.0,100.0,61.75,16.89,100.0
08063,2012,EOS,100.0,100.0,91.52,48.56,12.56,91.52
08063,2013,08-01,100.0,95.49,83.12,31.17,16.72,83.12
08063,2013,09-01,98.47,93.81,61.74,25.07,2.9,61.74
08063,2013,10-01,80.04,40.26,15.75,4.01,1.47,15.75
08063,2013,EOS,73.96,21.01,12.01,4.01,1.47,12.01
08063,2014,08-01,40.08,26.66,15.55,3.74,0.92,15.55
08063,2014,09-01,40.1,26.79,15.58,2.67,0.0,15.58
08063,2014,10-01,33.49,24.0,14.11,2.33,0.0,14.11
08063,2014,EOS,30.0,21.26,12.26,0.0,0.0,12.26
08063,2015,08-01,2.04,0.0,0.0,0.0,0.0,0.0
08063,2015,09-01,2.04,0.0,0.0,0.0,0.0,0.0
08063,2015,10-01,25.57,0.0,0.0,0.0,0.0,0.0
08063,2015,EOS,17.85,0.0,0.0,0.0,0.0,0.0
08063,2016,08-01,18.87,0.0,0.0,0.0,0.0,0.0
08063,2016,09-01,34.02,1.47,0.0,0.0,0.0,0.0
08063,2016,10-01,28.25,1.79,0.0,0.0,0.0,0.0
08063,2016,EOS,98.4,35.21,2.15,0.0,0.0,2.15
08063,2017,08-01,39.95,0.0,0.0,0.0,0.0,0.0
08063,2017,09-01,16.04,0.0,0.0,0.0,0.0,0.0
08063,2017,10-01,35.21,3.72,0.0,0.0,0.0,0.0
08063,2017,EOS,28.77,9.82,0.0,0.0,0.0,0.0
08063,2018,08-01,82.15,76.64,60.82,39.72,10.2,60.82
08063,2018,09-01,81.43,74.46,65.88,45.46,8.5,65.88
08063,2018,10-01,83.11,71.59,63.93,44.29,12.62,63.93
08063,2018,EOS,82.9,66.26,54.82,34.13,13.35,54.82
08063,2019,08-01,3.07,0.0,0.0,0.0,0.0,0.0
08063,2019,09-01,6.65,0.0,0.0,0.0,0.0,0.0
08063,2019,10-01,65.94,10.81,0.0,0.0,0.0,0.0
08063,2019,EOS,74.81,59.95,32.23,0.0,0.0,32.23
08063,2020,08-01,97.05,73.99,60.34,31.77,0.0,60.34
08063,2020,09-01,100.0,98.26,93.29,36.52,0.38,93.29
08063,2020,10-01,100.0,98.61,87.77,50.1,0.38,87.77
08063,2020,EOS,100.0,100.0,93.71,74.08,27.22,93.71
08063,2021,08-01,45.57,41.02,36.23,28.15,18.32,36.23
08063,2021,09-01,50.73,36.61,24.44,15.05,3.91,24.44
08063,2021,10-01,83.08,40.94,24.58,15.05,3.91,24.58
08063,2021,EOS,100.0,88.1,40.83,8.75,0.0,40.83
08063,2022,08-01,97.22,82.26,40.36,4.91,0.0,40.36
08063,2022,09-01,87.33,56.65,22.68,4.7,0.58,22.68
08063,2022,10-01,84.28,47.84,17.53,3.91,0.57,17.53
08063,2022,EOS,83.73,49.35,25.2,4.34,0.57,25.2
08063,2023,08-01,24.43,1.81,0.0,0.0,0.0,0.0
08063,2023,09-01,30.39,15.67,1.52,0.0,0.0,1.52
08063,2023,10-01,29.19,15.77,2.77,0.0,0.0,2.77
08063,2023,EOS,56.98,26.9,6.88,1.31,0.0,6.88
08063,2024,08-01,35.7,7.85,1.32,0.0,0.0,1.32
08063,2024,09-01,52.79,8.27,1.16,0.0,0.0,1.16
08063,2024,10-01,43.16,19.18,3.71,0.0,0.0,3.71
08063,2024,EOS,41.57,10.41,4.26,0.94,0.0,4.26
08063,2025,08-01,57.13,44.9,31.0,8.79,0.0,31.0
08063,2025,09-01,69.6,54.15,42.29,28.92,7.05,42.29
08063,2025,10-01,56.57,46.17,36.77,15.23,0.0,36.77
08063,2025,EOS,66.73,31.14,13.49,1.29,0.0,13.49
08067,2005,08-01,24.12,7.74,1.17,0.0,0.0,1.17
08067,2005,09-01,45.88,8.06,1.03,0.0,0.0,1.03
08067,2005,10-01,49.04,8.17,1.03,0.0,0.0,1.03
08067,2005,EOS,30.1,5.81,0.0,0.0,0.0,0.0
08069,2004,08-01,100.0,81.91,43.53,1.38,0.0,43.53
08069,2004,09-01,84.27,60.79,18.0,6.89,0.0,18.0
08069,2004,10-01,84.17,55.11,15.86,5.21,0.0,15.86
08069,2004,EOS,77.39,51.34,13.6,4.94,0.0,13.6
08069,2005,08-01,24.12,7.74,1.17,0.0,0.0,1.17
08069,2005,09-01,45.88,8.06,1.03,0.0,0.0,1.03
08069,2005,10-01,49.04,8.17,1.03,0.0,0.0,1.03
08069,2005,EOS,30.1,5.81,0.0,0.0,0.0,0.0
08069,2006,08-01,100.0,91.98,38.87,7.0,0.0,38.87
08069,2006,09-01,100.0,82.06,29.88,4.12,0.0,29.88
08069,2006,10-01,100.0,61.55,8.01,0.03,0.0,8.01
08069,2006,EOS,53.33,21.64,6.88,0.04,0.0,6.88
08069,2007,08-01,47.81,20.54,2.29,0.0,0.0,2.29
08069,2007,09-01,45.07,9.85,0.61,0.0,0.0,0.61
08069,2007,10-01,45.01,9.6,0.31,0.0,0.0,0.31
08069,2007,EOS,34.04,1.41,0.0,0.0,0.0,0.0
08069,2008,08-01,52.89,34.21,11.59,4.3,0.65,11.59
08069,2008,09-01,57.91,17.9,3.68,0.0,0.0,3.68
08069,2008,10-01,56.96,12.69,3.36,0.0,0.0,3.36
08069,2008,EOS,77.47,5.91,0.0,0.0,0.0,0.0
08069,2010,08-01,22.75,0.0,0.0,0.0,0.0,0.0
08069,2010,09-01,12.93,0.0,0.0,0.0,0.0,0.0
08069,2010,10-01,53.77,0.0,0.0,0.0,0.0,0.0
08069,2010,EOS,59.97,38.63,0.0,0.0,0.0,0.0
08069,2012,08-01,100.0,100.0,99.7,73.67,2.82,99.7
08069,2012,09-01,100.0,100.0,99.96,68.38,9.64,99.96
08069,2012,10-01,100.0,100.0,100.0,61.75,16.89,100.0
08069,2012,EOS,100.0,100.0,91.52,48.56,12.56,91.52
08069,2013,08-01,100.0,95.49,83.12,31.17,16.72,83.12
08069,2013,09-01,98.47,93.81,61.74,25.07,2.9,61.74
08069,2013,10-01,80.04,40.26,15.75,4.01,1.47,15.75
08069,2013,EOS,73.96,21.01,12.01,4.01,1.47,12.01
08069,2014,08-01,40.08,26.66,15.55,3.74,0.92,15.55
08069,2014,09-01,40.1,26.79,15.58,2.67,0.0,15.58
08069,2014,10-01,33.49,24.0,14.11,2.33,0.0,14.11
08069,2014,EOS,30.0,21.26,12.26,0.0,0.0,12.26
08069,2015,08-01,2.04,0.0,0.0,0.0,0.0,0.0
08069,2015,09-01,2.04,0.0,0.0,0.0,0.0,0.0
08069,2015,10-01,25.57,0.0,0.0,0.0,0.0,0.0
08069,2015,EOS,17.85,0.0,0.0,0.0,0.0,0.0
08069,2016,08-01,18.87,0.0,0.0,0.0,0.0,0.0
08069,2016,09-01,34.02,1.47,0.0,0.0,0.0,0.0
08069,2016,10-01,28.25,1.79,0.0,0.0,0.0,0.0
08069,2016,EOS,98.4,35.21,2.15,0.0,0.0,2.15
08069,2019,08-01,3.07,0.0,0.0,0.0,0.0,0.0
08069,2019,09-01,6.65,0.0,0.0,0.0,0.0,0.0
08069,2019,10-01,65.94,10.81,0.0,0.0,0.0,0.0
08069,2019,EOS,74.81,59.95,32.23,0.0,0.0,32.23
08069,2020,08-01,97.05,73.99,60.34,31.77,0.0,60.34
08069,2020,09-01,100.0,98.26,93.29,36.52,0.38,93.29
08069,2020,10-01,100.0,98.61,87.77,50.1,0.38,87.77
08069,2020,EOS,100.0,100.0,93.71,74.08,27.22,93.71
08069,2022,08-01,97.22,82.26,40.36,4.91,0.0,40.36
08069,2022,09-01,87.33,56.65,22.68,4.7,0.58,22.68
08069,2022,10-01,84.28,47.84,17.53,3.91,0.57,17.53
08069,2022,EOS,83.73,49.35,25.2,4.34,0.57,25.2
08069,2023,08-01,24.43,1.81,0.0,0.0,0.0,0.0
08069,2023,09-01,30.39,15.67,1.52,0.0,0.0,1.52
08069,2023,10-01,29.19,15.77,2.77,0.0,0.0,2.77
08069,2023,EOS,56.98,26.9,6.88,1.31,0.0,6.88
08069,2024,08-01,35.7,7.85,1.32,0.0,0.0,1.32
08069,2024,09-01,52.79,8.27,1.16,0.0,0.0,1.16
08069,2024,10-01,43.16,19.18,3.71,0.0,0.0,3.71
08069,2024,EOS,41.57,10.41,4.26,0.94,0.0,4.26
08069,2025,08-01,57.13,44.9,31.0,8.79,0.0,31.0
08069,2025,09-01,69.6,54.15,42.29,28.92,7.05,42.29
08069,2025,10-01,56.57,46.17,36.77,15.23,0.0,36.77
08069,2025,EOS,66.73,31.14,13.49,1.29,0.0,13.49
08071,2005,08-01,24.12,7.74,1.17,0.0,0.0,1.17
08071,2005,09-01,45.88,8.06,1.03,0.0,0.0,1.03
08071,2005,10-01,49.04,8.17,1.03,0.0,0.0,1.03
08071,2005,EOS,30.1,5.81,0.0,0.0,0.0,0.0
08073,2004,08-01,100.0,81.91,43.53,1.38,0.0,43.53
08073,2004,09-01,84.27,60.79,18.0,6.89,0.0,18.0
08073,2004,10-01,84.17,55.11,15.86,5.21,0.0,15.86
08073,2004,EOS,77.39,51.34,13.6,4.94,0.0,13.6
08073,2005,08-01,24.12,7.74,1.17,0.0,0.0,1.17
08073,2005,09-01,45.88,8.06,1.03,0.0,0.0,1.03
08073,2005,10-01,49.04,8.17,1.03,0.0,0.0,1.03
08073,2005,EOS,30.1,5.81,0.0,0.0,0.0,0.0
08073,2006,08-01,100.0,91.98,38.87,7.0,0.0,38.87
08073,2006,09-01,100.0,82.06,29.88,4.12,0.0,29.88
08073,2006,10-01,100.0,61.55,8.01,0.03,0.0,8.01
08073,2006,EOS,53.33,21.64,6.88,0.04,0.0,6.88
08073,2007,08-01,47.81,20.54,2.29,0.0,0.0,2.29
08073,2007,09-01,45.07,9.85,0.61,0.0,0.0,0.61
08073,2007,10-01,45.01,9.6,0.31,0.0,0.0,0.31
08073,2007,EOS,34.04,1.41,0.0,0.0,0.0,0.0
08073,2008,08-01,52.89,34.21,11.59,4.3,0.65,11.59
08073,2008,09-01,57.91,17.9,3.68,0.0,0.0,3.68
08073,2008,10-01,56.96,12.69,3.36,0.0,0.0,3.36
08073,2008,EOS,77.47,5.91,0.0,0.0,0.0,0.0
08073,2010,08-01,22.75,0.0,0.0,0.0,0.0,0.0
08073,2010,09-01,12.93,0.0,0.0,0.0,0.0,0.0
08073,2010,10-01,53.77,0.0,0.0,0.0,0.0,0.0
08073,2010,EOS,59.97,38.63,0.0,0.0,0.0,0.0
08073,2011,08-01,44.2,32.29,27.21,17.81,2.23,27.21
08073,2011,09-01,43.56,28.66,23.06,11.94,1.19,23.06
08073,2011,10-01,39.38,27.69,19.99,7.88,0.56,19.99
08073,2011,EOS,34.33,26.27,17.48,1.85,0.63,17.48
08073,2012,08-01,100.0,100.0,99.7,73.67,2.82,99.7
08073,2012,09-01,100.0,100.0,99.96,68.38,9.64,99.96
08073,2012,10-01,100.0,100.0,100.0,61.75,16.89,100.0
08073,2012,EOS,100.0,100.0,91.52,48.56,12.56,91.52
08073,2013,08-01,100.0,95.49,83.12,31.17,16.72,83.12
08073,2013,09-01,98.47,93.81,61.74,25.07,2.9,61.74
08073,2013,10-01,80.04,40.26,15.75,4.01,1.47,15.75
08073,2013,EOS,73.96,21.01,12.01,4.01,1.47,12.01
08073,2014,08-01,40.08,26.66,15.55,3.74,0.92,15.55
08073,2014,09-01,40.1,26.79,15.58,2.67,0.0,15.58
08073,2014,10-01,33.49,24.0,14.11,2.33,0.0,14.11
08073,2014,EOS,30.0,21.26,12.26,0.0,0.0,12.26
08073,2015,08-01,2.04,0.0,0.0,0.0,0.0,0.0
08073,2015,09-01,2.04,0.0,0.0,0.0,0.0,0.0
08073,2015,10-01,25.57,0.0,0.0,0.0,0.0,0.0
08073,2015,EOS,17.85,0.0,0.0,0.0,0.0,0.0
08073,2016,08-01,18.87,0.0,0.0,0.0,0.0,0.0
08073,2016,09-01,34.02,1.47,0.0,0.0,0.0,0.0
08073,2016,10-01,28.25,1.79,0.0,0.0,0.0,0.0
08073,2016,EOS,98.4,35.21,2.15,0.0,0.0,2.15
08073,2018,08-01,82.15,76.64,60.82,39.72,10.2,60.82
08073,2018,09-01,81.43,74.46,65.88,45.46,8.5,65.88
08073,2018,10-01,83.11,71.59,63.93,44.29,12.62,63.93
08073,2018,EOS,82.9,66.26,54.82,34.13,13.35,54.82
08073,2020,08-01,97.05,73.99,60.34,31.77,0.0,60.34
08073,2020,09-01,100.0,98.26,93.29,36.52,0.38,93.29
08073,2020,10-01,100.0,98.61,87.77,50.1,0.38,87.77
08073,2020,EOS,100.0,100.0,93.71,74.08,27.22,93.71
08073,2021,08-01,45.57,41.02,36.23,28.15,18.32,36.23
08073,2021,09-01,50.73,36.61,24.44,15.05,3.91,24.44
08073,2021,10-01,83.08,40.94,24.58,15.05,3.91,24.58
08073,2021,EOS,100.0,88.1,40.83,8.75,0.0,40.83
08073,2024,08-01,35.7,7.85,1.32,0.0,0.0,1.32
08073,2024,09-01,52.79,8.27,1.16,0.0,0.0,1.16
08073,2024,10-01,43.16,19.18,3.71,0.0,0.0,3.71
08073,2024,EOS,41.57,10.41,4.26,0.94,0.0,4.26
08073,2025,08-01,57.13,44.9,31.0,8.79,0.0,31.0
08073,2025,09-01,69.6,54.15,42.29,28.92,7.05,42.29
08073,2025,10-01,56.57,46.17,36.77,15.23,0.0,36.77
08073,2025,EOS,66.73,31.14,13.49,1.29,0.0,13.49
08075,2004,08-01,100.0,81.91,43.53,1.38,0.0,43.53
08075,2004,09-01,84.27,60.79,18.0,6.89,0.0,18.0
08075,2004,10-01,84.17,55.11,15.86,5.21,0.0,15.86
08075,2004,EOS,77.39,51.34,13.6,4.94,0.0,13.6
08075,2005,08-01,24.12,7.74,1.17,0.0,0.0,1.17
08075,2005,09-01,45.88,8.06,1.03,0.0,0.0,1.03
08075,2005,10-01,49.04,8.17,1.03,0.0,0.0,1.03
08075,2005,EOS,30.1,5.81,0.0,0.0,0.0,0.0
08075,2006,08-01,100.0,91.98,38.87,7.0,0.0,38.87
08075,2006,09-01,100.0,82.06,29.88,4.12,0.0,29.88
08075,2006,10-01,100.0,61.55,8.01,0.03,0.0,8.01
08075,2006,EOS,53.33,21.64,6.88,0.04,0.0,6.88
08075,2007,08-01,47.81,20.54,2.29,0.0,0.0,2.29
08075,2007,09-01,45.07,9.85,0.61,0.0,0.0,0.61
08075,2007,10-01,45.01,9.6,0.31,0.0,0.0,0.31
08075,2007,EOS,34.04,1.41,0.0,0.0,0.0,0.0
08075,2008,08-01,52.89,34.21,11.59,4.3,0.65,11.59
08075,2008,09-01,57.91,17.9,3.68,0.0,0.0,3.68
08075,2008,10-01,56.96,12.69,3.36,0.0,0.0,3.36
08075,2008,EOS,77.47,5.91,0.0,0.0,0.0,0.0
08075,2009,08-01,8.72,0.0,0.0,0.0,0.0,0.0
08075,2009,09-01,20.07,0.0,0.0,0.0,0.0,0.0
08075,2009,10-01,31.15,2.07,0.0,0.0,0.0,0.0
08075,2009,EOS,25.13,6.75,0.0,0.0,0.0,0.0
08075,2010,08-01,22.75,0.0,0.0,0.0,0.0,0.0
08075,2010,09-01,12.93,0.0,0.0,0.0,0.0,0.0
08075,2010,10-01,53.77,0.0,0.0,0.0,0.0,0.0
08075,2010,EOS,59.97,38.63,0.0,0.0,0.0,0.0
08075,2011,08-01,44.2,32.29,27.21,17.81,2.23,27.21
08075,2011,09-01,43.56,28.66,23.06,11.94,1.19,23.06
08075,2011,10-01,39.38,27.69,19.99,7.88,0.56,19.99
08075,2011,EOS,34.33,26.27,17.48,1.85,0.63,17.48
08075,2012,08-01,100.0,100.0,99.7,73.67,2.82,99.7
08075,2012,09-01,100.0,100.0,99.96,68.38,9.64,99.96
08075,2012,10-01,100.0,100.0,100.0,61.75,16.89,100.0
08075,2012,EOS,100.0,100.0,91.52,48.56,12.56,91.52
08075,2013,08-01,100.0,95.49,83.12,31.17,16.72,83.12
08075,2013,09-01,98.47,93.81,61.74,25.07,2.9,61.74
08075,2013,10-01,80.04,40.26,15.75,4.01,1.47,15.75
08075,2013,EOS,73.96,21.01,12.01,4.01,1.47,12.01
08075,2014,08-01,40.08,26.66,15.55,3.74,0.92,15.55
08075,2014,09-01,40.1,26.79,15.58,2.67,0.0,15.58
08075,2014,10-01,33.49,24.0,14.11,2.33,0.0,14.11
08075,2014,EOS,30.0,21.26,12.26,0.0,0.0,12.26
08075,2015,08-01,2.04,0.0,0.0,0.0,0.0,0.0
08075,2015,09-01,2.04,0.0,0.0,0.0,0.0,0.0
08075,2015,10-01,25.57,0.0,0.0,0.0,0.0,0.0
08075,2015,EOS,17.85,0.0,0.0,0.0,0.0,0.0
08075,2020,08-01,97.05,73.99,60.34,31.77,0.0,60.34
08075,2020,09-01,100.0,98.26,93.29,36.52,0.38,93.29
08075,2020,10-01,100.0,98.61,87.77,50.1,0.38,87.77
08075,2020,EOS,100.0,100.0,93.71,74.08,27.22,93.71
08075,2021,08-01,45.57,41.02,36.23,28.15,18.32,36.23
08075,2021,09-01,50.73,36.61,24.44,15.05,3.91,24.44
08075,2021,10-01,83.08,40.94,24.58,15.05,3.91,24.58
08075,2021,EOS,100.0,88.1,40.83,8.75,0.0,40.83
08075,2022,08-01,97.22,82.26,40.36,4.91,0.0,40.36
08075,2022,09-01,87.33,56.65,22.68,4.7,0.58,22.68
08075,2022,10-01,84.28,47.84,17.53,3.91,0.57,17.53
08075,2022,EOS,83.73,49.35,25.2,4.34,0.57,25.2
08075,2023,08-01,24.43,1.81,0.0,0.0,0.0,0.0
08075,2023,09-01,30.39,15.67,1.52,0.0,0.0,1.52
08075,2023,10-01,29.19,15.77,2.77,0.0,0.0,2.77
08075,2023,EOS,56.98,26.9,6.88,1.31,0.0,6.88
08075,2024,08-01,35.7,7.85,1.32,0.0,0.0,1.32
08075,2024,09-01,52.79,8.27,1.16,0.0,0.0,1.16
08075,2024,10-01,43.16,19.18,3.71,0.0,0.0,3.71
08075,2024,EOS,41.57,10.41,4.26,0.94,0.0,4.26
08075,2025,08-01,57.13,44.9,31.0,8.79,0.0,31.0
08075,2025,09-01,69.6,54.15,42.29,28.92,7.05,42.29
08075,2025,10-01,56.57,46.17,36.77,15.23,0.0,36.77
08075,2025,EOS,66.73,31.14,13.49,1.29,0.0,13.49
08077,2004,08-01,100.0,81.91,43.53,1.38,0.0,43.53
08077,2004,09-01,84.27,60.79,18.0,6.89,0.0,18.0
08077,2004,10-01,84.17,55.11,15.86,5.21,0.0,15.86
08077,2004,EOS,77.39,51.34,13.6,4.94,0.0,13.6
08077,2005,08-01,24.12,7.74,1.17,0.0,0.0,1.17
08077,2005,09-01,45.88,8.06,1.03,0.0,0.0,1.03
08077,2005,10-01,49.04,8.17,1.03,0.0,0.0,1.03
08077,2005,EOS,30.1,5.81,0.0,0.0,0.0,0.0
08077,2006,08-01,100.0,91.98,38.87,7.0,0.0,38.87
08077,2006,09-01,100.0,82.06,29.88,4.12,0.0,29.88
08077,2006,10-01,100.0,61.55,8.01,0.03,0.0,8.01
08077,2006,EOS,53.33,21.64,6.88,0.04,0.0,6.88
08077,2007,08-01,47.81,20.54,2.29,0.0,0.0,2.29
08077,2007,09-01,45.07,9.85,0.61,0.0,0.0,0.61
08077,2007,10-01,45.01,9.6,0.31,0.0,0.0,0.31
08077,2007,EOS,34.04,1.41,0.0,0.0,0.0,0.0
08077,2008,08-01,52.89,34.21,11.59,4.3,0.65,11.59
08077,2008,09-01,57.91,17.9,3.68,0.0,0.0,3.68
08077,2008,10-01,56.96,12.69,3.36,0.0,0.0,3.36
08077,2008,EOS,77.47,5.91,0.0,0.0,0.0,0.0
08077,2021,08-01,45.57,41.02,36.23,28.15,18.32,36.23
08077,2021,09-01,50.73,36.61,24.44,15.05,3.91,24.44
08077,2021,10-01,83.08,40.94,24.58,15.05,3.91,24.58
08077,2021,EOS,100.0,88.1,40.83,8.75,0.0,40.83
08077,2022,08-01,97.22,82.26,40.36,4.91,0.0,40.36
08077,2022,09-01,87.33,56.65,22.68,4.7,0.58,22.68
08077,2022,10-01,84.28,47.84,17.53,3.91,0.57,17.53
08077,2022,EOS,83.73,49.35,25.2,4.34,0.57,25.2
08077,2024,08-01,35.7,7.85,1.32,0.0,0.0,1.32
08077,2024,09-01,52.79,8.27,1.16,0.0,0.0,1.16
08077,2024,10-01,43.16,19.18,3.71,0.0,0.0,3.71
08077,2024,EOS,41.57,10.41,4.26,0.94,0.0,4.26
08077,2025,08-01,57.13,44.9,31.0,8.79,0.0,31.0
08077,2025,09-01,69.6,54.15,42.29,28.92,7.05,42.29
08077,2025,10-01,56.57,46.17,36.77,15.23,0.0,36.77
08077,2025,EOS,66.73,31.14,13.49,1.29,0.0,13.49
